trade_no,signal_ts,entry_ts,exit_ts,direction,trigger,entry_price,stop_loss,take_profit,risk_distance,sl_method,exit_price,result,r_mult,mae_r,mfe_r,hold_bars,reason
165,2026-08-23 21:00:00+00,2026-08-23 21:15:00+00,2026-08-24 00:15:00+00,LONG,BREAKOUT_10,2464.96,2435.12,2524.64,29.84,STRUCTURE,2450.45,TIME_LOSS,-0.48626005361930294906,-0.73827077747989276139,-0.19235924932975871314,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
166,2026-08-24 05:00:00+00,2026-08-24 05:15:00+00,2026-08-24 08:15:00+00,LONG,BREAKOUT_10,2457.02,2427.35,2516.36,29.67,STRUCTURE,2439.06,TIME_LOSS,-0.60532524435456690260,-0.74148972025615099427,-0.26356589147286821705,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
167,2026-08-24 10:00:00+00,2026-08-24 10:15:00+00,2026-08-24 13:15:00+00,LONG,BREAKOUT_10,2481.99,2452.43,2541.11,29.56,STRUCTURE,2506.2,TIME_WIN,0.81901217861975642760,0.71684709066305818674,1.1505412719891746,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
168,2026-08-24 21:00:00+00,2026-08-24 21:15:00+00,2026-08-25 00:15:00+00,LONG,BREAKOUT_10,2483.13,2464.61,2520.17,18.52,STRUCTURE,2478.21,TIME_LOSS,-0.26565874730021598272,-0.65820734341252699784,-0.08531317494600431965,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
169,2026-08-25 00:30:00+00,2026-08-25 00:45:00+00,2026-08-25 03:45:00+00,LONG,BREAKOUT_10,2492.38,2470.94,2535.26,21.44,STRUCTURE,2498.3,TIME_WIN,0.27611940298507462687,-0.23694029850746268657,0.37873134328358208955,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
170,2026-08-25 05:00:00+00,2026-08-25 05:15:00+00,2026-08-25 07:45:00+00,LONG,RECLAIM_SMA20,2499.86,2484.54371428571428568,2530.49257142857142864,15.31628571428571432,ATR_1.2,2484.54371428571428568,LOSS,-1,-2.43466338351334713,-0.05614938347603857693,10,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
171,2026-08-26 02:15:00+00,2026-08-26 02:30:00+00,2026-08-26 05:00:00+00,LONG,BREAKOUT_10,2466.99,2451.52,2497.93,15.47,STRUCTURE,2451.52,LOSS,-1,-1.0749838396897220,0.01809954751131221719,10,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
172,2026-08-26 05:15:00+00,2026-08-26 05:30:00+00,2026-08-26 08:30:00+00,LONG,RECLAIM_SMA20,2462.13,2450.36,2485.67,11.77,STRUCTURE,2462.87,TIME_WIN,0.06287170773152081563,-0.24893797790994052676,0.10620220900594732370,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
173,2026-08-26 10:30:00+00,2026-08-26 10:45:00+00,2026-08-26 13:00:00+00,LONG,RECLAIM_SMA20,2464.08,2441.76,2508.72,22.32,STRUCTURE,2441.76,LOSS,-1,-1.2132616487455197,-0.05197132616487455197,9,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
174,2026-08-26 17:15:00+00,2026-08-26 17:30:00+00,2026-08-26 20:30:00+00,LONG,BREAKOUT_10,2461.9,2437.01,2511.68,24.89,STRUCTURE,2467.85,TIME_WIN,0.23905182804339092005,0.04459622338288469265,0.27601446364001607071,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
